,High Card Hand Occurrences,High Card Theoretical Probability,High Card Empirical Probability,High Card Expected Occurrences,High Card Empirical Probability Mean,High Card Empirical Probability Variance,High Card Absolute Empirical Max and Min Probability Range,High Card High Deviation Intervals,High Card Hand Occurrences Mean,High Card Absolute Theoretical and Empirical Probability Difference Mean,High Card Expected Hand Occurrences Per Interval,High Card Absolute Theoretical and Empirical Probability Variance,High Card Skewness,High Card Hand Occurrence Variance,Single Pair Hand Occurrences,Single Pair Theoretical Probability,Single Pair Empirical Probability,Single Pair Expected Occurrences,Single Pair Empirical Probability Mean,Single Pair Empirical Probability Variance,Single Pair Absolute Empirical Max and Min Probability Range,Single Pair High Deviation Intervals,Single Pair Hand Occurrences Mean,Single Pair Absolute Theoretical and Empirical Probability Difference Mean,Single Pair Expected Hand Occurrences Per Interval,Single Pair Absolute Theoretical and Empirical Probability Variance,Single Pair Skewness,Single Pair Hand Occurrence Variance,Double Pair Hand Occurrences,Double Pair Theoretical Probability,Double Pair Empirical Probability,Double Pair Expected Occurrences,Double Pair Empirical Probability Mean,Double Pair Empirical Probability Variance,Double Pair Absolute Empirical Max and Min Probability Range,Double Pair High Deviation Intervals,Double Pair Hand Occurrences Mean,Double Pair Absolute Theoretical and Empirical Probability Difference Mean,Double Pair Expected Hand Occurrences Per Interval,Double Pair Absolute Theoretical and Empirical Probability Variance,Double Pair Skewness,Double Pair Hand Occurrence Variance,Three of a Kind Hand Occurrences,Three of a Kind Theoretical Probability,Three of a Kind Empirical Probability,Three of a Kind Expected Occurrences,Three of a Kind Empirical Probability Mean,Three of a Kind Empirical Probability Variance,Three of a Kind Absolute Empirical Max and Min Probability Range,Three of a Kind High Deviation Intervals,Three of a Kind Hand Occurrences Mean,Three of a Kind Absolute Theoretical and Empirical Probability Difference Mean,Three of a Kind Expected Hand Occurrences Per Interval,Three of a Kind Absolute Theoretical and Empirical Probability Variance,Three of a Kind Skewness,Three of a Kind Hand Occurrence Variance,Straight Hand Occurrences,Straight Theoretical Probability,Straight Empirical Probability,Straight Expected Occurrences,Straight Empirical Probability Mean,Straight Empirical Probability Variance,Straight Absolute Empirical Max and Min Probability Range,Straight High Deviation Intervals,Straight Hand Occurrences Mean,Straight Absolute Theoretical and Empirical Probability Difference Mean,Straight Expected Hand Occurrences Per Interval,Straight Absolute Theoretical and Empirical Probability Variance,Straight Skewness,Straight Hand Occurrence Variance,Flush Hand Occurrences,Flush Theoretical Probability,Flush Empirical Probability,Flush Expected Occurrences,Flush Empirical Probability Mean,Flush Empirical Probability Variance,Flush Absolute Empirical Max and Min Probability Range,Flush High Deviation Intervals,Flush Hand Occurrences Mean,Flush Absolute Theoretical and Empirical Probability Difference Mean,Flush Expected Hand Occurrences Per Interval,Flush Absolute Theoretical and Empirical Probability Variance,Flush Skewness,Flush Hand Occurrence Variance,Full House Hand Occurrences,Full House Theoretical Probability,Full House Empirical Probability,Full House Expected Occurrences,Full House Empirical Probability Mean,Full House Empirical Probability Variance,Full House Absolute Empirical Max and Min Probability Range,Full House High Deviation Intervals,Full House Hand Occurrences Mean,Full House Absolute Theoretical and Empirical Probability Difference Mean,Full House Expected Hand Occurrences Per Interval,Full House Absolute Theoretical and Empirical Probability Variance,Full House Skewness,Full House Hand Occurrence Variance,Four of a Kind Hand Occurrences,Four of a Kind Theoretical Probability,Four of a Kind Empirical Probability,Four of a Kind Expected Occurrences,Four of a Kind Empirical Probability Mean,Four of a Kind Empirical Probability Variance,Four of a Kind Absolute Empirical Max and Min Probability Range,Four of a Kind High Deviation Intervals,Four of a Kind Hand Occurrences Mean,Four of a Kind Absolute Theoretical and Empirical Probability Difference Mean,Four of a Kind Expected Hand Occurrences Per Interval,Four of a Kind Absolute Theoretical and Empirical Probability Variance,Four of a Kind Skewness,Four of a Kind Hand Occurrence Variance,Straight Flush Hand Occurrences,Straight Flush Theoretical Probability,Straight Flush Empirical Probability,Straight Flush Expected Occurrences,Straight Flush Empirical Probability Mean,Straight Flush Empirical Probability Variance,Straight Flush Absolute Empirical Max and Min Probability Range,Straight Flush High Deviation Intervals,Straight Flush Hand Occurrences Mean,Straight Flush Absolute Theoretical and Empirical Probability Difference Mean,Straight Flush Expected Hand Occurrences Per Interval,Straight Flush Absolute Theoretical and Empirical Probability Variance,Straight Flush Skewness,Straight Flush Hand Occurrence Variance,Royal Flush Hand Occurrences,Royal Flush Theoretical Probability,Royal Flush Empirical Probability,Royal Flush Expected Occurrences,Royal Flush Empirical Probability Mean,Royal Flush Empirical Probability Variance,Royal Flush Absolute Empirical Max and Min Probability Range,Royal Flush High Deviation Intervals,Royal Flush Hand Occurrences Mean,Royal Flush Absolute Theoretical and Empirical Probability Difference Mean,Royal Flush Expected Hand Occurrences Per Interval,Royal Flush Absolute Theoretical and Empirical Probability Variance,Royal Flush Skewness,Royal Flush Hand Occurrence Variance,Number of Trials
Simulation 16,4977,0.5011774,0.4977,5011.774,0.49959455,1.78e-05,0.018333400000000055,1,248.85,0.003742959999999998,250.5887,6.3e-06,1.6375311,133.5275,4220,0.422569,0.422,4225.69,0.4187085400000001,3.23e-05,0.02400000000000002,2,211.0,0.004457149999999988,211.28449999999998,2.74e-05,-1.8745239,131.8,477,0.047539,0.0477,475.39,0.049219525,3.5e-06,0.008444399999999998,0,23.85,0.0016805250000000032,23.7695,3.5e-06,2.7165911,12.3275,221,0.0211285,0.0221,211.28500000000003,0.021078850000000003,1.1e-06,0.0038570999999999987,0,11.05,0.00090226,10.564250000000001,2e-07,-0.0453822,5.7475,73,0.0039246,0.0073,39.246,0.00866521,2.8e-06,0.005699999999999999,0,3.65,0.004740610000000001,1.9623000000000002,2.8e-06,1.6032455,2.5275,17,0.0019654,0.0017,19.654,0.0017129000000000003,3e-07,0.0026667,0,0.85,0.0004299300000000001,0.9827,2e-07,-1.2256615,0.6275,11,0.0014406,0.0011,14.406,0.000691725,3e-07,0.0013333,0,0.55,0.0007488750000000001,0.7203,3e-07,-0.1100074,0.6475,4,0.0002401,0.0004,2.4010000000000002,0.00032867,0.0,0.0006667,0,0.2,0.00014239,0.12005,0.0,0,0.16,0,1.39e-05,0.0,0.139,0.0,0.0,0.0,0,0.0,1.3900000000000008e-05,0.0069500000000000004,0.0,0,0.0,0,1.5e-06,0.0,0.015000000000000001,0.0,0.0,0.0,0,0.0,1.4999999999999996e-06,0.00075,0.0,0,0.0,10000
Simulation 17,5018,0.5011774,0.5018,5011.774,0.5010574849999999,1.99e-05,0.021066699999999938,1,250.9,0.002717715000000001,250.5887,1.25e-05,-2.6987009,68.99,4218,0.422569,0.4218,4225.69,0.4216789349999999,2.58e-05,0.0239047,1,210.9,0.003695794999999982,211.28449999999998,1.29e-05,2.4126665,104.09,478,0.047539,0.0478,475.39,0.047013605,1.69e-05,0.018750000000000003,1,23.9,0.0024941050000000012,23.7695,1.09e-05,-2.9060174,29.99,196,0.0211285,0.0196,211.28500000000003,0.021737344999999998,8.8e-06,0.0109333,0,9.8,0.002147385000000001,10.564250000000001,4.5e-06,1.5816985,8.66,56,0.0039246,0.0056,39.246,0.004592939999999999,8e-07,0.004,0,2.8,0.0009590499999999997,1.9623000000000002,4e-07,-1.1992334,3.16,23,0.0019654,0.0023,19.654,0.0025439749999999995,7e-07,0.0045000000000000005,0,1.15,0.0006251150000000001,0.9827,7e-07,3.9751557,1.1275,9,0.0014406,0.0009,14.406,0.0010490650000000003,1e-07,0.0016,0,0.45,0.000470085,0.7203,1e-07,1.2112618,0.8475,2,0.0002401,0.0002,2.4010000000000002,0.000326645,0.0,0.001,0,0.1,0.000125595,0.12005,0.0,0,0.09,0,1.39e-05,0.0,0.139,0.0,0.0,0.0,0,0.0,1.3900000000000008e-05,0.0069500000000000004,0.0,0,0.0,0,1.5e-06,0.0,0.015000000000000001,0.0,0.0,0.0,0,0.0,1.4999999999999996e-06,0.00075,0.0,0,0.0,10000
Simulation 18,4961,0.5011774,0.4961,5011.774,0.49498655,1.88e-05,0.017000000000000015,3,248.05,0.006273109999999998,250.5887,1.78e-05,-1.1578946,127.3475,4244,0.422569,0.4244,4225.69,0.42648427500000013,2.64e-05,0.02200000000000002,3,212.2,0.004032755000000018,211.28449999999998,2.54e-05,2.4409976,118.56,485,0.047539,0.0485,475.39,0.050719335,3.3e-06,0.006416699999999997,0,24.25,0.0031803350000000016,23.7695,3.3e-06,0.6304413,15.4875,216,0.0211285,0.0216,211.28500000000003,0.020027505,8.7e-06,0.013600000000000001,1,10.8,0.0013597750000000001,10.564250000000001,8.1e-06,-3.9697311,11.26,60,0.0039246,0.006,39.246,0.005348220000000001,6e-07,0.0034000000000000002,0,3.0,0.00151608,1.9623000000000002,4e-07,-1.8862314,2.3,18,0.0019654,0.0018,19.654,0.00101129,4e-07,0.0018,0,0.9,0.0009541099999999999,0.9827,4e-07,-0.6108905,1.19,16,0.0014406,0.0016,14.406,0.0014228,2e-07,0.002,0,0.8,0.00029183000000000003,0.7203,1e-07,-1.8474848,0.86,0,0.0002401,0.0,2.4010000000000002,0.0,0.0,0.0,0,0.0,0.00024009999999999998,0.12005,0.0,0,0.0,0,1.39e-05,0.0,0.139,0.0,0.0,0.0,0,0.0,1.3900000000000008e-05,0.0069500000000000004,0.0,0,0.0,0,1.5e-06,0.0,0.015000000000000001,0.0,0.0,0.0,0,0.0,1.4999999999999996e-06,0.00075,0.0,0,0.0,10000
Simulation 19,4914,0.5011774,0.4914,5011.774,0.4859235350000001,1.7e-05,0.016400000000000026,19,245.7,0.015253864999999995,250.5887,1.7e-05,-0.8815499,74.51,4280,0.422569,0.428,4225.69,0.43127726,2.8e-05,0.02562500000000001,5,214.0,0.008708260000000027,211.28449999999998,2.8e-05,3.381368,44.4,488,0.047539,0.0488,475.39,0.051027005,8.2e-06,0.013199999999999996,1,24.4,0.0034880050000000024,23.7695,8.2e-06,3.2677793,17.04,200,0.0211285,0.02,211.28500000000003,0.020133395000000002,1.1e-05,0.0148889,1,10.0,0.0019639950000000005,10.564250000000001,8.2e-06,-2.8887051,12.7,67,0.0039246,0.0067,39.246,0.005857075,2.5e-06,0.0055,0,3.35,0.002226524999999999,1.9623000000000002,1.3e-06,-1.2162928,4.2275,36,0.0019654,0.0036,19.654,0.0042800600000000005,1e-06,0.0044706,0,1.8,0.0023146600000000005,0.9827,1e-06,3.2005892,2.26,10,0.0014406,0.001,14.406,0.0012317,1e-07,0.002,0,0.5,0.00030416000000000004,0.7203,1e-07,-2.4557903,0.45,4,0.0002401,0.0004,2.4010000000000002,0.000242005,0.0,0.0005455,0,0.2,0.00019577499999999997,0.12005,0.0,0,0.16,1,1.39e-05,0.0001,0.139,2.7950000000000002e-05,0.0,0.000125,0,0.05,3.49e-05,0.0069500000000000004,0.0,0,0.0475,0,1.5e-06,0.0,0.015000000000000001,0.0,0.0,0.0,0,0.0,1.4999999999999996e-06,0.00075,0.0,0,0.0,10000
Simulation 20,4920,0.5011774,0.492,5011.774,0.49165616500000003,6.94e-05,0.03949999999999998,3,246.0,0.009521234999999994,250.5887,6.94e-05,-3.863622,94.5,4317,0.422569,0.4317,4225.69,0.43250742,7.1e-05,0.041200000000000014,4,215.85,0.009938420000000026,211.28449999999998,7.1e-05,2.9407133,121.5275,457,0.047539,0.0457,475.39,0.045553235,3.3e-06,0.0086667,0,22.85,0.0023179649999999987,23.7695,1.8e-06,0.11218,17.3275,212,0.0211285,0.0212,211.28500000000003,0.021073304999999997,6e-07,0.0028000000000000004,0,10.6,0.0006533350000000002,10.564250000000001,2e-07,0.8946665,5.34,63,0.0039246,0.0063,39.246,0.006285195,9e-07,0.0034666999999999996,0,3.15,0.002360594999999999,1.9623000000000002,9e-07,1.3643075,3.1275,22,0.0019654,0.0022,19.654,0.0019799399999999995,3e-07,0.0024615,0,1.1,0.00032082,0.9827,2e-07,-2.6598179,1.19,8,0.0014406,0.0008,14.406,0.0007682900000000001,1e-07,0.0016,0,0.4,0.00072825,0.7203,0.0,3.3703061,0.44,1,0.0002401,0.0001,2.4010000000000002,0.00017643500000000001,0.0,0.0005,0,0.05,0.000120515,0.12005,0.0,0,0.0475,0,1.39e-05,0.0,0.139,0.0,0.0,0.0,0,0.0,1.3900000000000008e-05,0.0069500000000000004,0.0,0,0.0,0,1.5e-06,0.0,0.015000000000000001,0.0,0.0,0.0,0,0.0,1.4999999999999996e-06,0.00075,0.0,0,0.0,10000
Simulation 21,5003,0.5011774,0.5003,5011.774,0.4962962249999999,1.59e-05,0.012666699999999975,4,250.15,0.005023475000000002,250.5887,1.45e-05,-0.3088962,118.7275,4220,0.422569,0.422,4225.69,0.4266471,1.62e-05,0.013444400000000023,2,211.0,0.004562840000000015,211.28449999999998,1.2e-05,0.2989004,116.8,445,0.047539,0.0445,475.39,0.04492252,3.4e-06,0.0086667,0,22.25,0.0027353499999999992,23.7695,2.8e-06,-0.457054,24.5875,226,0.0211285,0.0226,211.28500000000003,0.021410715,2.1e-06,0.0058571000000000005,0,11.3,0.0012177249999999994,10.564250000000001,7e-07,-1.7265132,5.61,69,0.0039246,0.0069,39.246,0.006826250000000001,7e-07,0.0041818,0,3.45,0.00290165,1.9623000000000002,7e-07,3.0101908,2.1475,24,0.0019654,0.0024,19.654,0.00291268,8e-07,0.004,0,1.2,0.0009472800000000002,0.9827,8e-07,2.7111849,1.26,10,0.0014406,0.001,14.406,0.0006955500000000002,1e-07,0.0010526,0,0.5,0.0007450499999999999,0.7203,1e-07,-1.0261945,0.45,3,0.0002401,0.0003,2.4010000000000002,0.00028896499999999997,1e-07,0.0006667,0,0.15,0.00021693499999999997,0.12005,0.0,-0.0721243,0.2275,0,1.39e-05,0.0,0.139,0.0,0.0,0.0,0,0.0,1.3900000000000008e-05,0.0069500000000000004,0.0,0,0.0,0,1.5e-06,0.0,0.015000000000000001,0.0,0.0,0.0,0,0.0,1.4999999999999996e-06,0.00075,0.0,0,0.0,10000
Simulation 22,4916,0.5011774,0.4916,5011.774,0.48784216,9.33e-05,0.04353849999999998,10,245.8,0.013335239999999998,250.5887,9.33e-05,-3.0761912,182.26,4286,0.422569,0.4286,4225.69,0.42794349499999995,1.11e-05,0.015333299999999994,1,214.3,0.005374495000000026,211.28449999999998,1.11e-05,1.3035038,134.01,482,0.047539,0.0482,475.39,0.053412570000000006,5.87e-05,0.0324211,4,24.1,0.00587357,23.7695,5.87e-05,2.5516774,33.69,211,0.0211285,0.0211,211.28500000000003,0.020274395,1.2e-06,0.004,0,10.55,0.0010189550000000002,10.564250000000001,9e-07,-0.5656614,15.3475,79,0.0039246,0.0079,39.246,0.007641210000000001,1.6e-06,0.005142900000000001,0,3.95,0.00371661,1.9623000000000002,1.6e-06,-2.0835779,3.9475,18,0.0019654,0.0018,19.654,0.0014844699999999999,1e-07,0.001,0,0.9,0.00049131,0.9827,1e-07,0.4825076,0.99,8,0.0014406,0.0008,14.406,0.0014017099999999996,1.4e-06,0.0052941,0,0.4,0.00071265,0.7203,9e-07,3.5150697,0.54,0,0.0002401,0.0,2.4010000000000002,0.0,0.0,0.0,0,0.0,0.00024009999999999998,0.12005,0.0,0,0.0,0,1.39e-05,0.0,0.139,0.0,0.0,0.0,0,0.0,1.3900000000000008e-05,0.0069500000000000004,0.0,0,0.0,0,1.5e-06,0.0,0.015000000000000001,0.0,0.0,0.0,0,0.0,1.4999999999999996e-06,0.00075,0.0,0,0.0,10000
Simulation 23,4971,0.5011774,0.4971,5011.774,0.4992415500000001,2.11e-05,0.02400000000000002,2,248.55,0.003998219999999997,250.5887,8.9e-06,1.6014485,82.7475,4215,0.422569,0.4215,4225.69,0.41937777499999995,2.28e-05,0.025000000000000022,1,210.75,0.00413432499999998,211.28449999999998,1.59e-05,-0.1853595,108.4875,503,0.047539,0.0503,475.39,0.05105494000000001,9e-07,0.003777700000000002,0,25.15,0.003515940000000002,23.7695,9e-07,-0.8703243,20.9275,216,0.0211285,0.0216,211.28500000000003,0.020724705,1.1e-06,0.0036249999999999998,0,10.8,0.0007551949999999996,10.564250000000001,7e-07,-1.906824,7.76,65,0.0039246,0.0065,39.246,0.00718306,2e-06,0.006666699999999999,0,3.25,0.00325846,1.9623000000000002,2e-06,0.5534566,4.4875,18,0.0019654,0.0018,19.654,0.0017873750000000001,5e-07,0.0029091000000000004,0,0.9,0.0005387850000000001,0.9827,2e-07,1.8962313,0.99,11,0.0014406,0.0011,14.406,0.00058883,1e-07,0.0011,0,0.55,0.0008517699999999997,0.7203,1e-07,-0.8811689,0.7475,0,0.0002401,0.0,2.4010000000000002,0.0,0.0,0.0,0,0.0,0.00024009999999999998,0.12005,0.0,0,0.0,1,1.39e-05,0.0001,0.139,4.176000000000001e-05,0.0,0.0001429,0,0.05,4.5929999999999996e-05,0.0069500000000000004,0.0,0,0.0475,0,1.5e-06,0.0,0.015000000000000001,0.0,0.0,0.0,0,0.0,1.4999999999999996e-06,0.00075,0.0,0,0.0,10000
Simulation 24,4986,0.5011774,0.4986,5011.774,0.4987133999999999,1.48e-05,0.017000000000000015,0,249.3,0.003710780000000005,250.5887,7.1e-06,0.7569706,135.41,4233,0.422569,0.4233,4225.69,0.42789238999999996,1.75e-05,0.017000000000000015,2,211.65,0.00553912000000002,211.28449999999998,1.51e-05,0.3417089,92.5275,473,0.047539,0.0473,475.39,0.04611122999999999,1.9e-06,0.004083299999999998,0,23.65,0.0014616399999999984,23.7695,1.8e-06,-0.7360535,18.6275,208,0.0211285,0.0208,211.28500000000003,0.018330679999999995,5.6e-06,0.011999999999999999,0,10.4,0.0032849700000000008,10.564250000000001,2.6e-06,1.618981,17.14,67,0.0039246,0.0067,39.246,0.00600607,1.3e-06,0.0038975,0,3.35,0.0021405999999999994,1.9623000000000002,1.1e-06,-1.2130643,2.5275,21,0.0019654,0.0021,19.654,0.0018234999999999998,4e-07,0.0032,0,1.05,0.00038318999999999994,0.9827,2e-07,1.9884617,0.7475,10,0.0014406,0.001,14.406,0.00099643,1e-07,0.0013333,0,0.5,0.00044416999999999997,0.7203,1e-07,-3.4983773,0.35,1,0.0002401,0.0001,2.4010000000000002,4.945e-05,0.0,0.0001538,0,0.05,0.00019064999999999997,0.12005,0.0,0,0.0475,1,1.39e-05,0.0001,0.139,7.687500000000003e-05,0.0,0.0002,0,0.05,7.5485e-05,0.0069500000000000004,0.0,0,0.0475,0,1.5e-06,0.0,0.015000000000000001,0.0,0.0,0.0,0,0.0,1.4999999999999996e-06,0.00075,0.0,0,0.0,10000
Simulation 25,4905,0.5011774,0.4905,5011.774,0.48128163499999993,4.35e-05,0.024499999999999966,20,245.25,0.019895764999999996,250.5887,4.35e-05,-0.7962193,96.0875,4329,0.422569,0.4329,4225.69,0.43817306,1.45e-05,0.017000000000000015,19,216.45,0.01560406000000003,211.28449999999998,1.45e-05,-0.5361748,94.9475,467,0.047539,0.0467,475.39,0.050064535,3.62e-05,0.022625000000000006,3,23.35,0.0042234049999999995,23.7695,2.47e-05,1.7839433,26.3275,200,0.0211285,0.02,211.28500000000003,0.020812570000000006,4.7e-06,0.009428600000000002,0,10.0,0.0015107100000000006,10.564250000000001,2.5e-06,2.801049,9.1,59,0.0039246,0.0059,39.246,0.005759555000000001,1.7e-06,0.005,0,2.95,0.0021532049999999996,1.9623000000000002,4e-07,-2.1471944,3.3475,23,0.0019654,0.0023,19.654,0.0020538349999999995,6e-07,0.003,0,1.15,0.0006743349999999999,0.9827,2e-07,-1.3941672,1.2275,15,0.0014406,0.0015,14.406,0.001698355,1e-07,0.001,0,0.75,0.00031254500000000006,0.7203,0.0,-0.6102643,0.3875,2,0.0002401,0.0002,2.4010000000000002,0.000156435,0.0,0.0004,0,0.1,0.00011452499999999998,0.12005,0.0,0,0.09,0,1.39e-05,0.0,0.139,0.0,0.0,0.0,0,0.0,1.3900000000000008e-05,0.0069500000000000004,0.0,0,0.0,0,1.5e-06,0.0,0.015000000000000001,0.0,0.0,0.0,0,0.0,1.4999999999999996e-06,0.00075,0.0,0,0.0,10000
Simulation 26,4927,0.5011774,0.4927,5011.774,0.49663059499999995,1.11e-05,0.015500000000000014,1,246.35,0.005011324999999997,250.5887,6.7e-06,0.1705135,91.6275,4285,0.422569,0.4285,4225.69,0.42350852000000005,1.55e-05,0.017000000000000015,1,214.25,0.0032642600000000106,211.28449999999998,5.7e-06,-1.4420428,79.4875,455,0.047539,0.0455,475.39,0.044244365,1.1e-06,0.004980400000000003,0,22.75,0.0032946349999999985,23.7695,1.1e-06,-2.1106661,9.7875,225,0.0211285,0.0225,211.28500000000003,0.02501482,9.6e-06,0.013684199999999997,1,11.25,0.0038863199999999987,10.564250000000001,9.6e-06,2.652037,8.2875,80,0.0039246,0.008,39.246,0.007939175000000003,2.6e-06,0.007333299999999999,0,4.0,0.004207035,1.9623000000000002,1e-06,-3.1729534,3.5,19,0.0019654,0.0019,19.654,0.0016173650000000002,5e-07,0.0026667,0,0.95,0.000515945,0.9827,3e-07,-0.8331529,1.3475,8,0.0014406,0.0008,14.406,0.00101053,2e-07,0.0014118,0,0.4,0.00060383,0.7203,0.0,1.7413309,0.64,0,0.0002401,0.0,2.4010000000000002,0.0,0.0,0.0,0,0.0,0.00024009999999999998,0.12005,0.0,0,0.0,0,1.39e-05,0.0,0.139,0.0,0.0,0.0,0,0.0,1.3900000000000008e-05,0.0069500000000000004,0.0,0,0.0,1,1.5e-06,0.0001,0.015000000000000001,3.4615e-05,0.0,0.0001333,0,0.05,3.5214999999999994e-05,0.00075,0.0,0,0.0475,10000
Simulation 27,4984,0.5011774,0.4984,5011.774,0.492896835,5.33e-05,0.030666700000000047,7,249.2,0.008280564999999995,250.5887,5.33e-05,-1.9398623,126.46,4261,0.422569,0.4261,4225.69,0.4284281,2.06e-05,0.020083300000000026,5,213.05,0.006449330000000026,211.28449999999998,1.34e-05,-0.3008865,107.8475,465,0.047539,0.0465,475.39,0.049068209999999994,3.21e-05,0.02480000000000001,2,23.25,0.00297212,23.7695,2.56e-05,3.1724142,35.7875,204,0.0211285,0.0204,211.28500000000003,0.020744825,2e-06,0.007000000000000003,0,10.2,0.0011356050000000005,10.564250000000001,8e-07,1.5799315,7.86,55,0.0039246,0.0055,39.246,0.00587759,1.3e-06,0.005,0,2.75,0.0019529899999999995,1.9623000000000002,1.3e-06,3.052338,2.1875,21,0.0019654,0.0021,19.654,0.0015763549999999998,4e-07,0.0022353,0,1.05,0.0005598350000000001,0.9827,3e-07,-1.0578669,1.0475,9,0.0014406,0.0009,14.406,0.00104832,1e-07,0.0012308,0,0.45,0.0005101000000000001,0.7203,0.0,3.1640835,0.2475,1,0.0002401,0.0001,2.4010000000000002,0.00035977000000000003,2e-07,0.0019,0,0.05,0.00023181999999999999,0.12005,2e-07,2.9935986,0.0475,0,1.39e-05,0.0,0.139,0.0,0.0,0.0,0,0.0,1.3900000000000008e-05,0.0069500000000000004,0.0,0,0.0,0,1.5e-06,0.0,0.015000000000000001,0.0,0.0,0.0,0,0.0,1.4999999999999996e-06,0.00075,0.0,0,0.0,10000
Simulation 28,5014,0.5011774,0.5014,5011.774,0.49942242,1.94e-05,0.016722199999999965,2,250.7,0.0031590599999999913,250.5887,1.25e-05,-1.0732451,86.41,4201,0.422569,0.4201,4225.69,0.42349293499999996,3.08e-05,0.018000000000000016,3,210.05,0.004276804999999995,211.28449999999998,1.34e-05,1.2489051,73.7475,464,0.047539,0.0464,475.39,0.042807005,1.39e-05,0.011749999999999997,2,23.2,0.0047319949999999975,23.7695,1.39e-05,-0.5459155,33.16,226,0.0211285,0.0226,211.28500000000003,0.023949645,1.6e-06,0.005333299999999999,0,11.3,0.0028211449999999993,10.564250000000001,1.6e-06,0.8921934,9.21,73,0.0039246,0.0073,39.246,0.008234859999999998,1.3e-06,0.004666699999999999,0,3.65,0.004310259999999999,1.9623000000000002,1.3e-06,0.7614553,3.3275,12,0.0019654,0.0012,19.654,0.0012002149999999997,5e-07,0.0034286,0,0.6,0.000972105,0.9827,2e-07,3.520945,1.04,7,0.0014406,0.0007,14.406,0.0005025499999999999,1e-07,0.0008,0,0.35,0.0009380500000000004,0.7203,1e-07,-0.326318,0.3275,3,0.0002401,0.0003,2.4010000000000002,0.00039036,0.0,0.001,0,0.15,0.00017475000000000002,0.12005,0.0,0,0.1275,0,1.39e-05,0.0,0.139,0.0,0.0,0.0,0,0.0,1.3900000000000008e-05,0.0069500000000000004,0.0,0,0.0,0,1.5e-06,0.0,0.015000000000000001,0.0,0.0,0.0,0,0.0,1.4999999999999996e-06,0.00075,0.0,0,0.0,10000
Simulation 29,5061,0.5011774,0.5061,5011.774,0.5143502550000001,0.0001367,0.04635290000000003,9,253.05,0.013172855000000011,250.5887,0.0001367,1.776759,185.2475,4179,0.422569,0.4179,4225.69,0.41322002499999994,8.51e-05,0.03682350000000001,7,208.95,0.009348974999999973,211.28449999999998,8.51e-05,-2.0362742,128.0475,447,0.047539,0.0447,475.39,0.04189158,7.6e-06,0.012699999999999996,1,22.35,0.005647419999999996,23.7695,7.6e-06,-2.554149,24.9275,221,0.0211285,0.0221,211.28500000000003,0.021313300000000004,1.2e-06,0.004800000000000002,0,11.05,0.00091891,10.564250000000001,4e-07,0.3281096,5.7475,66,0.0039246,0.0066,39.246,0.00700789,1e-07,0.0015000000000000005,0,3.3,0.00308329,1.9623000000000002,1e-07,1.5335849,2.21,14,0.0019654,0.0014,19.654,0.0012782350000000002,1e-07,0.0015,0,0.7,0.000690625,0.9827,1e-07,-0.7616706,0.41,12,0.0014406,0.0012,14.406,0.00093871,1e-07,0.0013333,0,0.6,0.00050189,0.7203,1e-07,-2.8676712,0.64,0,0.0002401,0.0,2.4010000000000002,0.0,0.0,0.0,0,0.0,0.00024009999999999998,0.12005,0.0,0,0.0,0,1.39e-05,0.0,0.139,0.0,0.0,0.0,0,0.0,1.3900000000000008e-05,0.0069500000000000004,0.0,0,0.0,0,1.5e-06,0.0,0.015000000000000001,0.0,0.0,0.0,0,0.0,1.4999999999999996e-06,0.00075,0.0,0,0.0,10000
Simulation 30,4991,0.5011774,0.4991,5011.774,0.493926875,3.71e-05,0.029100000000000015,3,249.55,0.007250524999999999,250.5887,3.71e-05,-3.4471146,62.6475,4256,0.422569,0.4256,4225.69,0.431070215,3.03e-05,0.022777800000000015,5,212.8,0.008501215000000025,211.28449999999998,3.03e-05,1.7905697,88.96,457,0.047539,0.0457,475.39,0.046599205,2.5e-06,0.006214300000000006,0,22.85,0.0015997350000000001,23.7695,8e-07,0.7632589,25.8275,207,0.0211285,0.0207,211.28500000000003,0.019783329999999995,1.9e-06,0.005333299999999999,0,10.35,0.0014689200000000012,10.564250000000001,1.6e-06,-0.5033132,4.4275,56,0.0039246,0.0056,39.246,0.005139035,8e-07,0.0053333,0,2.8,0.0013402249999999996,1.9623000000000002,5e-07,0.5528096,2.76,19,0.0019654,0.0019,19.654,0.0024526650000000006,3e-07,0.0021000000000000003,0,0.95,0.0004938049999999999,0.9827,3e-07,1.3719498,0.6475,12,0.0014406,0.0012,14.406,0.0009568099999999998,2e-07,0.0014118,0,0.6,0.00048379,0.7203,2e-07,-1.0759426,0.64,2,0.0002401,0.0002,2.4010000000000002,7.187500000000001e-05,0.0,0.0002,0,0.1,0.00016822499999999998,0.12005,0.0,0,0.09,0,1.39e-05,0.0,0.139,0.0,0.0,0.0,0,0.0,1.3900000000000008e-05,0.0069500000000000004,0.0,0,0.0,0,1.5e-06,0.0,0.015000000000000001,0.0,0.0,0.0,0,0.0,1.4999999999999996e-06,0.00075,0.0,0,0.0,10000
